Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SENS,Senseonics Holdings Inc. Common Stock,$3.51,0.01,0.286%,1502533408.00,United States,,17273571,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.50,0.41,4.063%,62885855.00,United States,,86862,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$8.84,0.19,2.197%,1277008402.00,,2018,466137,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$28.10,-1.25,-4.259%,4334701054.00,Mexico,1993,5898,Basic Industries,Aluminum
SMTS,Sierra Metals Inc. Common Stock,$3.00,0.01,0.334%,490284450.00,,,159460,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.8788,-0.0401,-4.364%,49375710.00,United States,,1679578,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.92,-0.10,-3.311%,20206555.00,United States,,479084,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$9.30,-0.27,-2.821%,689259912.00,United States,,260280,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.55,0.08,1.463%,976146266.00,,,353648,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.50,-0.26,-2.968%,21067310.00,United States,,1015,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.5709,-0.0066,-1.143%,75383085.00,United States,,2124742,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$2.03,-0.03,-1.456%,574873719.00,Canada,,860345,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.09,0.03,2.83%,212449921.00,Canada,,253002,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$15.28,-0.47,-2.984%,178201151.00,,,304189,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.14,-0.04,-3.39%,42001071.00,United States,2015,789180,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$76.79,-1.49,-1.903%,1144557791.00,United States,,21271,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.51,0.03,1.21%,362174863.00,Canada,,201260,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.12,0.00,0.00%,68805804.00,,,30528,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$5.01,-0.05,-0.988%,19604406.00,United States,,46642,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.5039,-0.0055,-1.08%,128429273.00,Canada,,451693,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.96,-0.0081,-0.837%,102002958.00,United States,,1173514,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$5.01,0.02,0.401%,345470191.00,United States,,1627668,,
UEC,Uranium Energy Corp. Common Stock,$2.57,-0.07,-2.652%,599448383.00,Canada,,3352526,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.74,-0.01,-0.267%,36574010.00,United States,2015,5551,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.37,-0.05,-3.521%,259463067.00,Canada,,1071420,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.56,0.04,2.632%,207622664.00,,2017,1142279,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.80,0.20,0.578%,2069401836.00,United States,2004,404827,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$8.46,-0.01,-0.118%,19567024.00,United States,,48435,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.08,-0.06,-0.977%,892599079.00,,,2504934,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
